PF00163,FLENGED TEE 90MM D.I,2,6900,PC,1,D4,PIPESAND FITTINGS\
PF00164,FLENGED THREADED ADAPTOR 63MM,5,2600,PC,2,H2,PIPESAND FITTINGS\
PF00165,FLEXIBLE TUBE 1/2,3,150,PC,2,B4,PIPESAND FITTINGS\
PF00166,FLOW VALVE ASSEMBLY,0,3000,PC,1,F1,PIPESAND FITTINGS\
PF00167,FOOT VALVE SWN W1/E9,5,0,PC,2,E5,PIPESAND FITTINGS\
PF00168,GATE VALVE 1/2  CHINA,0,0,PC,0,B4,PIPESAND FITTINGS\
PF00169,GATE VALVE 1/2 PEGLER,49,789,PC,12,B4,PIPESAND FITTINGS\
PF00170,GATE VALVE3/4 PEGLER,23,1045,PC,6,B4,PIPESAND FITTINGS\
PF00171A,GATE VALVE 1 PEGLER,14,1550,PC,6,B4,PIPESAND FITTINGS\
PF00171B,GATE VALVE 1 1/2 PEGLER,3,3490,PC,0,B4,PIPESAND FITTINGS\
PF00172,GATE VALVE 2 PEGLER,3,4756,PC,4,B4,PIPESAND FITTINGS\
PF00173,GATE VALVE 2 ITALY,0,0,PC,0,B4,PIPESAND FITTINGS\
PF00174,GATE VALVE 3 PEGLER,0,10440,PC,1,B4,PIPESAND FITTINGS\
PF00175,G.I BRACKET 2,2,35,PC,1,B2,PIPESAND FITTINGS\
PF00176,GRAVITY DOZER,0,48000,SET,0,F1,PIPESAND FITTINGS\
PF00177,GRIPS 1/4,11,35,PC,4,B3,PIPESAND FITTINGS\
PF00178,HACKSAW BLADES,15,128,PC,6,DR19,PIPESAND FITTINGS\
PF00179,HACKSAW FRAME,0,1624,PC,0,DR5,PIPESAND FITTINGS\
PF00180,HAND PUMP ROD,2,0,PC,1,L5,PIPESAND FITTINGS\
PF00181,HAND PUMP SIEVES HP 300,4,0,PC,0,BOX M,PIPESAND FITTINGS\
PF00182A,HDPE END PLUG 50MM,6,740,PC,0,G2,PIPESAND FITTINGS\
PF00182B,HDPE END PLUG 63MM,4,748.2,PC,0,G2,PIPESAND FITTINGS\
PF00182C,HDPE PIPE 50MM P10,0,122,MTR,0,YARD,PIPESAND FITTINGS\
PF00182D,HDPE PIPE 63MM P10,2000,200,MTR,0,YARD,PIPESAND FITTINGS\
PF00183A,HDPE MALE ADOPTER 50MM,3,680,PC,0,G2,PIPESAND FITTINGS\
