STOCK  WORKSHEET AS AT  2022-05-13
ITEM NO , CODE ,  ITEM  , UNITS , CATEGORY , LOCATION , QUANTITY , UNIT PRICE , VALUE , PHYSICAL COUNT ,  DIFFERENCE , REMARKS
111,MC0085,KICK START 2A615622002,PC,MOTOR CYCLE SPARES,L3,1,"4,547.50","4,547.50"
112,MC0086,KICK GEAR  I W1 - 15641 -00,PC,MOTOR CYCLE SPARES,L3,1,302.50,302.50
113,MC0087A,LAWN MOWER VICTA 6501/C 190CC,PC,MOTOR CYCLE SPARES,L3,0,"80,000.00",0.00
114,MC0087B,LAWN MOWER BLADE,PC,MOTOR CYCLE SPARES,L3,4,550.00,"2,200.00"
115,MC 0088,LEVER HOLDER 3Y -682911 - 00,PC,MOTOR CYCLE SPARES,L3,1,452.00,452.00
116,MC0089,LEVER HOLDER 83J - 82910 -00,PC,MOTOR CYCLE SPARES,L3,3,279.00,837.00
117,MC0090,LIGHTING COIL 3FT - 85512 - 00,PC,MOTOR CYCLE SPARES,L3,8,"1,095.00","8,760.00"
118,MC0091,MAIN SWITCH STEER 18G - 82501 -00,PC,MOTOR CYCLE SPARES,L3,0,0.00,0.00
119,MC0092A,METER BULBS  DASH BOARD BULB 6V 3W,PC,MOTOR CYCLE SPARES,L3,7,150.00,"1,050.00"
120,MC0092B,MOTOR BIKE 150CC HAOJIN,PC,MOTOR CYCLE SPARES,L3,0,195.00,0.00
121,MC0093,MIRROR  RS L USED,PC,MOTOR CYCLE SPARES,L3,2,0.00,0.00
122,MC0094,MUFFLER JOINT GASKET IW2 - 14714 -00,PC,MOTOR CYCLE SPARES,L3,4,"1,031.00","4,124.00"
123,MC0095,NEEDLE VALVE,PC,MOTOR CYCLE SPARES,L3,3,"1,991.10","5,973.30"
124,MC0096,NEELE SET 18G -18G - 1490Y - 00,PC,MOTOR CYCLE SPARES,L3,0,627.50,0.00
125,MC0097,NUT - CASTLE,PC,MOTOR CYCLE SPARES,L3,1,284.78,284.78
126,MC0098,OIL PUMP COVER GASKET 18G - 15456-02,PC,MOTOR CYCLE SPARES,L3,3,65.00,195.00
